id,metric_name,modelo_registry_id,warning_treshold,critical_treshold,direction,valid_from,valid_to,,,,
84,null_rate,bb_4,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
88,gini_b_malo4_6,bb_4,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
89,ks_b_malo4_6,bb_4,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
90,ordering_violations_b_malo4_6,bb_4,3,4,lower_worse,01/01/25,31/01/25,,,,
91,gini_b_malo8_13,bb_4,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
92,ks_b_malo8_13,bb_4,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
93,ordering_violations_b_malo8_13,bb_4,3,4,lower_worse,01/01/25,31/01/25,,,,
94,gini_b_malo14_26,bb_4,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
95,ks_b_malo14_26,bb_4,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
96,ordering_violations_b_malo14_26,bb_4,3,4,lower_worse,01/01/25,31/01/25,,,,
100,gini_AVGMTOCONVENIENCIA,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
101,gini_INTERCEPTO,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
102,gini_PROMTXNDEPINTERES12M,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
103,gini_DISPMENSUAL,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
104,gini_AVGNUMCANALCAJERO6,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
105,gini_MTODISPOATM3M,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
106,gini_NUMPROMDIFSES,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
107,gini_SLDPROMMENSUALN6,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
108,gini_NUMNOMONETARIAS,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
109,gini_AVGMTOINTERNET,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
110,gini_STDNUMRETCLIENTE6M,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
111,gini_PORCOOTCONSCDC12M,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
112,gini_MTODEPNOMINAN6,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
113,gini_COCTOTCONSCDC3M12M,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
114,gini_SEXO,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
115,gini_MONTOVENTAPESOS,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
116,gini_NUMDEPNOMINAN3,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
117,gini_NUMTIENDADESC,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
118,gini_NUFAM2,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
119,gini_SLDFINMESN6,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
120,gini_EDAD,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
121,gini_ANTCAP,bb_4,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
122,psi,bb_5,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
123,null_rate,bb_5,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
127,gini_b_malo4_6,bb_5,0.3,0.2,higher_worse,01/01/25,31/01/25,,,,
128,ks_b_malo4_6,bb_5,0.2,0.1,lower_worse,01/01/25,31/01/25,,,,
129,ordering_violations_b_malo4_6,bb_5,1,2,lower_worse,01/01/25,31/01/25,,,,
