Variable,Fuente,Descripción Corta,Descripción Larga
num_tienda_desc,Cloudera,Transacciones realizadas en tiendas de descuentos,Número de trransacciones realizadas en el giro de tiendas de descuentos
prom_txn_dep_interes_12m,Cloudera,Depositos con intereses en los últimos 12 meses,Promedio de depositos de intereses en los últimos 12 meses
sld_fin_mes_n6,Cloudera,Saldo a fin de mes en captación últimos 6 meses,Saldo a fin de mes en cuentas de captación en los últimos 6 meses
ant_dig,Cloudera,Antigüedad con la App BAZ,Antigüedad con la App BAZ
avg_num_semanas_act,Cloudera,Semanas activas en cuentas de captación,Promedio de semanas activas en cuentas de captación
edo_median_conteos_rez,Códigos Postales,Mediana trimestral de surtimientos por código postal,Mediana trimestral de surtimientos de primer pedido en el código postal del trimestre más reciente con 3 meses de maduración
numero_prestamos_pers,CDC,Prestamos personales totales históricos,Número de prestamos personales totales históricos
avg_num_guardadito_6,Cloudera,Cuentas de guardadito en 6 meses,Promedio de cuentas de guardadito en 6 meses
ind_sin_cuenta,Cloudera,Indicadora de cliente sin nómina,Bandera indicadora que el cliente no tiene cuenta de nomina
monto_compra_dolares,Cloudera,Monto de compra de dólares último mes,Monto de compra de dólares último mes
sld_prom_mensual,Cloudera,Saldo promedio mensual en cuentas de captación,Saldo promedio mensual en cuentas de captación
mto_dep_interes_12m,Cloudera,Monto depositado por intereses en últimos 12 meses,Monto depositado por intereses en los últimos 12 meses
oot_cons_cdc_3m,CDC,Consultas off us en los últimos 3 meses,Consultas realizadas por otras instituciones en los últimos 3 meses
monto_pago,Cloudera,Monto de remesas en el ultimo mes,Monto de remesas en el ultimo mes
porc_f_cons_cdc_3m,CDC,% de consultas de creditos de pago fijo sobre el total en últimos 3 meses,Porcentaje de consultas de creditos de pago fijo sobre el total de consultas en los últimos 3 meses
sld_fin_mes_n3,Cloudera,Saldo a fin de mes en cuentas de captación últimos 3 meses,Saldo a fin de mes en cuentas de captación en los últimos 3 meses
sld_prom_mes,Cloudera,Saldo promedio mensual en cuentas de captación,Saldo promedio mensual en cuentas de captación
txn_compra,Cloudera,Transacciones en compras con tarjeta física,Transacciones en compras con tarjeta física
avg_sld_guardadito_6,Cloudera,Saldo promedio en cuentas guardadito en los últimos 6 meses,Saldo promedio en cuentas de guardadito en los últimos 6 meses
oot_cons_cdc_12m,CDC,Consultas off us últimos 12 meses,Consultas realizadas por otras instituciones en los últimos 12 meses
sld_prom_mensual_n3,Cloudera,Saldo promedio mensual en cuentas de captación últimos 3 meses,Saldo promedio mensual en cuentas de captación en los últimos 3 meses
,,,
