cliente_unico,num_periodo,vinculado,ant_cap,ant_dig,antg_capta_12m,antg_capta_3m,avg_mto_conveniencia,avg_mto_internet,avg_num_canal_cajero_6,avg_num_guardadito_6,avg_num_semanas_act,avg_sld_guardadito_6,cod_antiguedad,cod_nivel_cuenta,dias_ult_disp,disp_mensual,flg_compra_ta_12m,flg_dep_interes_12m,flg_dep_interes_3m,huella_digital,ind_cuenta_capta,ind_sin_cuenta,min_sld_tot_prod_cap_6m,monto_compra_dolares,monto_eeuu_u12meses,monto_pago,monto_u12meses,monto_venta_pesos,mto_dep_interes_12m,mto_dep_nomina_n3,mto_dep_nomina_n6,nom_giro_empresa,nu_fam2,num_conveniencia,num_dep_nomina_n3,num_no_monetarias,num_prom_dif_ses,num_tienda_desc,prom_txn_capta12m,prom_txn_capta3m,prom_txn_dep_interes_12m,prom_txn_dep_spei_3m,sld_fin_mes_n3,sld_fin_mes_n6,sld_prom_mensual,sld_prom_mensual_n3,sld_prom_mensual_n6,sld_prom_mes,sld_tot_prod_cap_3,sld_vista,std_num_ret_cliente_6m,txn_compra,txn_dispo_atm_12m,txn_dispo_atm_3m,txn_dispo_atm_6m,n_txn_mpg_6m,monto_u6meses,flg_ret_spei_12m,prom_txn_dispo_atm_12m,cod_tipo_cliente_geo,prom_txn_dep_spei_12m,mto_dispo_atm_3m,cod_etapa_comercial,prom_txn_compra_12m,cod_periodicidad,avg_num_canal_sucursal_6,ind_dig_mad_uu3,mto_ret_spei_3m,cod_tipo_dispersion_detalle,num_atm2,meses_sintxn_pago,sum_num_dep_interes_6,huella_captacion,segmento_mn,saldo_max_3,txn_total_capta_12m,mto_dep_spei_3m,cod_cat_cliente,flg_dispo_atm_12m,flg_ret_iva_12m,flg_dep_efectivo_12m,prom_txn_dispo_atm_6m,sld_tot_prod_cap_3m,monto_promedio,fcusuariocreacion,fdfechacreacion,num_periodo_mes
1-1-6282-3325,202510,2,4094,2236,0,0,,,,,0.0,,,,,,0,0,0,0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1764082518,202510
1-1-2054-18747,202510,2,5525,1641,130,130,,,0.0,0.0,0.0,0.0,,,,,0,1,1,0,,,737.8477,,,,,,0.15,0.0,0.0,,2.0,,0.0,,0.0,,2520.592169,2225.375938,0.15,7000.0,4881.66,12071.15,,1273.4709,1964.90948333,,1474.249,0.0,1.5055453054181618,,0,0,0,0,,1,0.0,NULL,12000.0,0.0,2,0.0,,0.0,0,10.0,,,,6.0,1,6,11016.21,83,7000.0,Churn,0,0,1,0.0,1621.6739000000002,737.1245,ubdf_app_baz,1764082518,202510
1-1-6680-107717,202510,2,2381,2381,78,78,0.0,0.0,1.8333333333333333,1.0,11.0,936.06613333,,,,,1,1,1,1,,,490.8974,,,,,,0.06,0.0,0.0,,2.0,0.0,0.0,14.0,2315.485,0.0,1177.244202,976.39377,0.06,5287.0,5559.78,6612.46,,761.52956667,936.06613333,,634.772,686.813,2.041241452319315,,3,3,3,3,,1,1533.3333333,NULL,23317.0,4600.0,3,2499.0,,0.0,0,22160.0,,7.0,,4.0,1,6,4485.26,119,10574.0,Leal,1,0,1,1533.3333333,698.2492000000001,317.386,ubdf_app_baz,1764082518,202510
1-13-7234-5505,202510,2,1526,1526,0,0,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,6.0,,1.0,1.0,,1.0,1.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,1.1,0.5,ubdf_app_baz,1764082518,202510
1-1-4747-39730,202510,2,5231,1061,0,0,,,,,0.0,,,,,,0,0,0,0,,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1764082518,202510
1-1-7168-46095,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,22105.2,0.0,22105.2,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,7.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-3997-69736,202510,1,1623,327,53,53,989.766129,0.0,1.8333333333333333,0.0,11.0,0.0,,,31.0,16757.6,0,1,1,1,,,512.1506,,,,,,0.51,51273.0,107546.0,GOBIERNO ESTATAL Y MUNICIPAL,3.0,45.0,6.0,1.0,4764.361,0.0,909.8255,1862.287143,0.51,0.0,14055.17,41710.52,,550.1238,1830.82594167,,5575.605,364.993,4.54972526643093,,25,7,11,59,,0,4691.5104,NULL,100.0,17698.36,3,1249.5351852,03 QUINCENAL,0.0,0,0.0,02 DIRECTA CUENTA NOMINA,11.0,,5.0,1,6,9020.02,20,0.0,Leal,1,1,1,4348.2363636,6133.1655,2787.8025,ubdf_app_baz,1764082518,202510
1-1-7126-46883,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,913.0,913.0,913.0,,0.0,,,,1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,913.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,0.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-8757-1386701,202511,7,1974,1027,64,0,,,0.0,0.0,,0.0,,N4,,,0,0,0,0,1.0,0.0,,,,,,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,2475.6,0.0,0.0,0.0,262.56,525.12,27.63789474,43.76,37.50857143,,,,,,0,0,0,0,,0,0.0,NULL,2475.6,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,1,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-301-95929,202510,2,4087,205,74,74,,,0.0,1.0,5.0,27.00718333,,,,,0,1,1,1,,,43491.2423,,,,,,575.64,0.0,0.0,,3.0,,0.0,,2770.726,,2287.261803,2986.778246,575.64,20473.49,551965.0,1107846.8,,15409.69541111,15923.56274706,,46231.21,10.645,2.966479394838265,,0,0,0,0,,1,0.0,NULL,45354.21,0.0,3,0.0,,0.0,0,25955.0,,,,5.0,1,6,18916.88,61,20473.49,Recurrente,0,1,0,0.0,50854.331000000006,23115.605,ubdf_app_baz,1764082518,202510
1-1-1135-202903,202510,2,2614,1091,86,86,,,0.0,1.0,,0.01,,,,,0,1,1,0,,,0.01,,0.0,0.0,0.0,,0.24,4615.38,4615.38,,3.0,,4.0,,0.0,,0.06,0.08,0.24,0.0,9231.18,9231.24,,468.5789,248.07294706,2307.8852,,,0.0,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,04 SEMANAL,0.0,0,0.0,01 DIRECTA CUENTA SOCIO,,,,1,9,2307.73,4,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-16-1156-1088597,202511,6,1329,755,43,43,,,0.0,1.0,,5.41,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,1.28,4.65,0.0,0.0,0.45,84.6,,0.775,2.51538462,0.05,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,1,9,9.31,1,0.0,Churn,0,1,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-7604-41409,202510,6,2417,1691,0,0,,,0.0,1.0,,20.0,,N4,,,0,0,0,0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,120.0,240.0,12.38095238,20.0,15.0,20.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-9-8179-7182,202510,2,3401,2668,129,0,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,88.4,,,,,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,1.6,0.0,0.0,0.0,265.2,530.4,,88.4,88.4,,88.948,88.4,0.0,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,1,0.0,Churn,0,1,0,0.0,97.8428,44.474,ubdf_app_baz,1764082518,202510
1-39-5366-18678,202510,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,20510.0,0.0,20510.0,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,8.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-5568-70608,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-6160-17434,202511,6,2443,2354,80,0,,,0.0,1.0,,0.01,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,0.0,,0.0,,0.04,0.0,0.0,0.0,0.03,0.06,,0.005,0.005,0.01,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,1,0.0,Churn,0,1,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-8757-484403,202511,7,1985,0,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-6703-106531,202510,2,3151,1467,0,0,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.06,6.12,,1.02,1.02,,1.02,1.02,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,1.122,0.51,ubdf_app_baz,1764082518,202510
1-1-7604-3281364,202511,2,1826,1815,0,0,,,,,0.0,,1. 0 a 6 meses,,,,0,0,0,0,0.0,0.0,,0.0,,,,1745.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1767398792,202511
1-1-7604-44811848,202511,7,1438,0,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-9-5871-11559,202511,2,3072,2032,100,100,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,10.74,,8031.0,0.0,8031.0,,0.0,0.0,0.0,,4.0,,0.0,,0.0,,281.457143,210.033333,0.0,200.0,44.64,850.08,,29.2457,48.6658,10.74,,,0.816496580927726,,0,0,0,0,3580.0,1,0.0,NULL,1230.0,0.0,,0.0,,0.0,0,310.1,,,2.0,,1,9,1500.84,7,200.0,Churn,0,0,1,0.0,,,ubdf_app_baz,1767398792,202511
1-1-4763-55478,202511,6,2516,2516,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,6.0,,1.0,1.0,1.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-2222-63350,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-17-1522-2571,202510,2,3062,0,100,0,,,0.0,1.0,,315.7158,,,,,0,0,0,0,,,306.81,,,,,,0.0,0.0,0.0,,1.0,,0.0,,,,55.533333,0.0,0.0,0.0,1840.86,3751.32,,306.81,315.7158,,,,0.0,,0,0,0,0,,0,0.0,NULL,330.0,0.0,,0.0,,0.0,0,0.0,,,,,0,6,0.0,6,0.0,,0,1,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-4183-65767,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,1952.0,0.0,1952.0,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,940.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,3.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-9-718-14869,202510,6,4373,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-4666-43887,202511,2,4302,1698,0,0,,,,,0.0,,,,,,0,0,0,0,,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1767398792,202511
1-1-7604-1374627,202510,7,2011,0,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-9-8647-20773,202511,3,0,0,0,0,,,,,,,7. 5 o mas anios,,,,0,0,0,0,,,,0.0,,,,1545.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-9-8692-5556,202510,4,0,0,0,0,,,,,,,7. 5 o mas anios,,,,0,0,0,0,,,,0.0,33746.25,14318.25,33746.25,1745.0,0.0,,,,1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0,0,0,0,33746.25,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,0.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-51-7364-139529,202511,2,1776,1776,0,0,,,,,0.0,,,,,,0,0,0,0,,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1767398792,202511
1-9-3314-8737,202511,6,4276,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-3382-51779,202510,1,4261,2438,129,129,0.0,0.0,0.5,1.0,0.0,3996.13776667,,,32.0,11051.76,0,1,1,0,,,0.0,,,,,,0.19,34637.8,43005.02,SERVICIOS,1.0,0.0,11.0,13.0,0.0,0.0,1.694,0.06,0.19,0.0,27751.0,35558.23,,7197.09463333,3996.13776667,,3215.298,14606.755,3.5449494589721118,,0,0,0,3,,0,0.0,NULL,0.0,0.0,2,971.3633333,03 QUINCENAL,0.0,0,0.0,03 DIRECTA OTRAS CUENTAS,3.0,,5.0,1,6,12007.64,5,0.0,Churn,0,1,0,0.0,3536.8278,1607.649,ubdf_app_baz,1764082518,202510
1-1-4466-31712,202510,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-1588-64370,202511,6,161,0,5,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,1,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-2080-61897,202510,2,3845,760,126,126,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0,1,1,1,,,48296.2187,,,,,,6.31,0.0,14202.01,,2.0,0.0,0.0,1.0,0.0,0.0,3714.156452,1906.321818,6.31,7433.97,166829.81,631994.2,,62842.26226667,100127.36821667,,84425.641,0.0,2.9268868558020253,,0,0,0,10,,1,0.0,NULL,101598.55,0.0,3,19923.992,,0.0,0,13533.99,,0.0,,5.0,1,6,67095.29,31,7433.97,Esporadico,0,0,0,0.0,92868.2051,42212.8205,ubdf_app_baz,1764082518,202510
1-1-2390-61272,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-9-4596-12039,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,414.0,0.0,414.0,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,414.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,5.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-6787-41882,202510,2,2716,0,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,64.9,,,,,,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,0.0,0.0,0.0,194.7,389.4,,64.9,64.9,,,,0.0,,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-7207-77993,202511,2,1136,1136,0,0,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1767398792,202511
1-1-2010-30324,202511,6,5110,0,0,0,,,,,,,,,,,0,0,0,0,,,,,1014.0,0.0,1014.0,,0.0,,,,2.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,11.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-5593-3758,202511,2,4793,149,23,23,,,0.16666666666666666,1.0,,646.88175,3. 1 a 2 anios,,,,0,1,1,0,,,91.8832,0.0,35025.77,4848.98,37535.42,852.0,0.09,0.0,0.0,,2.0,,0.0,,,,131.595,261.334167,0.09,871.0,1671.28,3926.44,,477.9973,646.88175,278.98,,,1.51657508881031,0.0,0,0,0,0,25893.66,1,0.0,NULL,1532.0,0.0,,0.0,,0.0,0,315.0,,,0.0,,1,9,2693.97,22,871.0,,0,0,1,0.0,,,ubdf_app_baz,1767398792,202511
1-1-1258-112906,202510,2,2037,1880,0,0,,,0.0,1.0,0.0,1.0,,,,,0,0,0,0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,6.0,,1.0,0.75,,1.0,1.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,1.1,0.5,ubdf_app_baz,1764082518,202510
1-39-2693-4605,202511,2,2284,2284,0,0,,,0.0,1.0,,51.0,,,,,0,0,0,0,,,51.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,306.0,612.0,,51.0,51.0,51.0,,,0.0,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-9305-2543043,202511,2,527,513,17,17,0.0,0.0,2.6666666666666665,1.0,0.0,27.52226667,,,,,0,0,0,0,,,21.03,,,,,,0.0,0.0,0.0,,2.0,0.0,0.0,17.0,0.0,0.0,699.044667,560.0,0.0,5600.0,63.09,113.77,,27.250975,23.59051429,,74.798,21.03,4.665476038590989,,15,15,15,15,,0,340.0,NULL,10485.61,5100.0,2,0.0,,0.0,0,0.0,,16.0,,,1,6,721.03,15,5600.0,Churn,1,1,0,340.0,82.27780000000001,37.399,ubdf_app_baz,1767398792,202511
1-1-8651-7807,202510,6,2011,1992,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,0.0,0.0,,,10007.0,0.0,10007.0,,0.0,,0.0,,2.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,0,0,0,10007.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,3.0,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-180-20115,202511,6,5637,529,17,17,,,0.0,1.0,,75.06683333,,,,,0,1,0,1,,,,,0.0,0.0,0.0,,0.23,0.0,0.0,,1.0,,0.0,,14801.073,,17011.2824,95.83,0.23,0.0,95.83,383.32,,54.30366667,75.06683333,0.0,,,,,0,0,0,0,0.0,1,0.0,NULL,3000.0,0.0,,0.0,,0.0,0,95.83,,,,,1,9,95.83,25,0.0,Recurrente,0,0,1,0.0,,,ubdf_app_baz,1767398792,202511
1-1-3120-16960,202511,2,3338,2540,0,0,,,0.0,1.0,0.0,1.0,,,,,0,0,0,0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,6.0,,1.0,1.0,,1.0,1.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,1.1,0.5,ubdf_app_baz,1767398792,202511
1-1-2105-144453,202510,6,4409,2175,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,,,17858.0,1698.0,17858.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,0,0,0,0,8647.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,0.0,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-9-3220-6667,202510,6,2646,0,87,0,,,1.0,0.0,,0.0,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,2,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-6113-33636,202511,2,1584,1584,52,52,0.0,5.0,1.3333333333333333,1.0,12.0,290.77316667,,,,,0,1,1,1,,,2.8,,,,,,0.03,0.0,0.0,,2.0,0.0,0.0,2.0,3530.648,6.0,433.696519,438.217826,0.03,5500.0,16.8,1483.5,,55.05321667,145.88658333,,359.298,2.8,4.708148963941844,,0,0,0,8,,1,0.0,NULL,16425.0,0.0,3,123.5485714,,0.0,0,4579.0,,0.0,,2.0,1,6,2001.8,135,5500.0,Leal,0,0,0,0.0,395.22780000000006,179.649,ubdf_app_baz,1767398792,202511
1-1-1779-57807,202511,2,3162,1049,0,0,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0.0,,0.0,,1.0,,,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,0.0,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1767398792,202511
1-1-7604-3406311,202511,7,1826,0,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-2080-107370,202510,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-11-2548-3187,202510,6,4747,1663,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,,,1932.0,0.0,1932.0,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,9.0,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
