cliente_unico,num_periodo,vinculado,ant_cap,ant_dig,antg_capta_12m,antg_capta_3m,avg_mto_conveniencia,avg_mto_internet,avg_num_canal_cajero_6,avg_num_guardadito_6,avg_num_semanas_act,avg_sld_guardadito_6,cod_antiguedad,cod_nivel_cuenta,dias_ult_disp,disp_mensual,flg_compra_ta_12m,flg_dep_interes_12m,flg_dep_interes_3m,huella_digital,ind_cuenta_capta,ind_sin_cuenta,min_sld_tot_prod_cap_6m,monto_compra_dolares,monto_eeuu_u12meses,monto_pago,monto_u12meses,monto_venta_pesos,mto_dep_interes_12m,mto_dep_nomina_n3,mto_dep_nomina_n6,nom_giro_empresa,nu_fam2,num_conveniencia,num_dep_nomina_n3,num_no_monetarias,num_prom_dif_ses,num_tienda_desc,prom_txn_capta12m,prom_txn_capta3m,prom_txn_dep_interes_12m,prom_txn_dep_spei_3m,sld_fin_mes_n3,sld_fin_mes_n6,sld_prom_mensual,sld_prom_mensual_n3,sld_prom_mensual_n6,sld_prom_mes,sld_tot_prod_cap_3,sld_vista,std_num_ret_cliente_6m,txn_compra,txn_dispo_atm_12m,txn_dispo_atm_3m,txn_dispo_atm_6m,n_txn_mpg_6m,monto_u6meses,flg_ret_spei_12m,prom_txn_dispo_atm_12m,cod_tipo_cliente_geo,prom_txn_dep_spei_12m,mto_dispo_atm_3m,cod_etapa_comercial,prom_txn_compra_12m,cod_periodicidad,avg_num_canal_sucursal_6,ind_dig_mad_uu3,mto_ret_spei_3m,cod_tipo_dispersion_detalle,num_atm2,meses_sintxn_pago,sum_num_dep_interes_6,huella_captacion,segmento_mn,saldo_max_3,txn_total_capta_12m,mto_dep_spei_3m,cod_cat_cliente,flg_dispo_atm_12m,flg_ret_iva_12m,flg_dep_efectivo_12m,prom_txn_dispo_atm_6m,sld_tot_prod_cap_3m,monto_promedio,fcusuariocreacion,fdfechacreacion,num_periodo_mes
1-39-5918-25284,202511,2,1307,1307,42,42,0.0,154.67,0.16666666666666666,1.0,,294.708,,,,,0,1,1,1,,,59.3548,,26431.0,1500.0,27931.0,,0.06,0.0,0.0,,4.0,0.0,0.0,,1387.749,0.0,512.268938,230.903768,0.06,5751.76,454.27,1061.63,,127.40211667,148.28628333,243.7733,,,6.501281924871945,,0,0,0,7,6700.0,1,0.0,NULL,10819.05,0.0,,253.9438462,,0.0,0,3671.07,,,0.0,,1,9,1829.01,113,5751.76,Leal,0,1,0,0.0,,,ubdf_app_baz,1767398792,202511
1-68-3301-3517779,202511,6,2357,0,77,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,0.0,0.0,,,30717.0,0.0,30717.0,,0.0,,0.0,,0.0,,,,,,4.43,0.0,0.0,0.0,,0.04,35.20642222,,0.00826667,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,10.0,,0,9,0.0,3,0.0,,0,1,0,0.0,,,ubdf_app_baz,1767398792,202511
1-3-8992-30615,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,29974.63,0.0,29974.63,,0.0,,,,2.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,8.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-4608-135913,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-9698-2606,202510,2,2068,2068,68,68,,,0.0,1.0,9.0,413.50505,,,,,1,1,0,1,,,111.3471,,,,,,0.02,0.0,0.0,,2.0,,0.0,0.0,2402.557,,696.221569,742.154545,0.02,3688.0,792.08,1962.33,,194.94923333,413.50505,,336.298,413.837,4.633213427705081,,0,0,0,0,,1,0.0,NULL,17103.0,0.0,3,0.0,,0.0,0,3174.0,,0.0,,2.0,1,6,3350.76,51,3688.0,Leal,0,1,1,0.0,369.92780000000005,168.149,ubdf_app_baz,1764082518,202510
1-9-8641-6469,202511,2,901,901,29,29,,,0.0,1.0,3.0,5912.48085,,,,,0,1,1,1,,,67829.9823,,,,,,0.65,0.0,0.0,,2.0,,0.0,0.0,18830.913,,10394.313889,35614.758889,0.65,0.0,203490.3,407206.15,,20349.02412,17690.72571739,,67765.022,5856.582,1.2110601416389966,,0,0,0,0,,0,0.0,NULL,0.0,0.0,3,0.0,,0.0,0,0.0,,0.0,,6.0,1,6,5856.1,18,0.0,Esporadico,0,0,0,0.0,74541.5242,33882.511,ubdf_app_baz,1767398792,202511
1-1-1627-72113,202510,2,1366,1366,45,0,,,0.0,0.0,0.0,0.0,,,,,0,1,0,0,,,,,,,,,0.69,0.0,0.0,,0.0,,0.0,,0.0,,10.3075,0.0,0.69,0.0,0.0,631.36,,0.0,49.03264286,,4618.771,0.0,,,24,0,0,0,,0,3115.8133333,NULL,0.0,0.0,2,719.35,,0.0,0,0.0,,,,,0,6,0.0,8,0.0,Churn,1,1,0,0.0,5080.6481,2309.3855,ubdf_app_baz,1764082518,202510
1-1-9305-2383788,202510,2,538,0,17,17,0.0,32.0,0.0,1.0,,10167.03711667,,,,,0,1,1,0,,,9168.6707,,,,,,0.83,0.0,0.0,,1.0,0.0,0.0,,,0.0,297.202143,2400.052,0.83,0.0,31435.1,64062.55,,9244.3853,7625.371875,,,,0.5477225575051661,,0,0,0,1,,0,0.0,NULL,2160.0,0.0,,32.0,,0.0,0,0.0,,,,,1,6,13058.98,14,0.0,,0,0,1,0.0,,,ubdf_app_baz,1764082518,202510
1-3-8992-20831,202510,6,4042,0,0,0,,,0.0,1.0,,0.47,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,1.41,2.82,,0.47,0.47,0.47,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-39-5602-4522,202511,1,1755,1755,57,57,12.646667,97.841333,0.0,0.0,7.0,0.0,,,53.0,1667.95,0,1,1,1,,,27.862,,,,,,4.17,1667.95,1667.95,EDUCACION,3.0,2.0,1.0,0.0,15849.126,0.0,3264.399483,5416.6425,4.17,0.0,6896.46,171163.18,,6611.3039,31476.6848,,40497.868,0.0,6.831300510639732,,0,0,0,20,,1,0.0,NULL,53531.0,0.0,3,678.7686207,01 ESPORADICO,0.0,0,0.0,02 DIRECTA CUENTA NOMINA,0.0,,5.0,1,6,60603.38,58,0.0,Leal,0,0,1,0.0,44547.654800000004,20248.934,ubdf_app_baz,1767398792,202511
